St;Max;St;Anz1
1197;9232;1197;120
1198;9232;1198;120
1199;12148;1199;71
1200;1200;1200;19
1201;4372;1201;58
1202;4372;1202;58
1203;5416;1203;58
1204;1204;1204;19
1205;3616;1205;19
1206;5812;1206;71
1207;8152;1207;71
1208;1208;1208;19
1209;13120;1209;58
1210;1816;1210;19
1211;39364;1211;71
1212;3076;1212;45
1213;3640;1213;45
1214;9232;1214;45
1215;27700;1215;164
1216;1216;1216;27
1217;9232;1217;133
1218;9232;1218;133
1219;9232;1219;133
1220;1220;1220;40
1221;3664;1221;40
1222;2752;1222;40
1223;9232;1223;133
1224;1224;1224;40
1225;9232;1225;133
1226;1840;1226;40
1227;9232;1227;133
1228;1384;1228;40
1229;3688;1229;40
1230;10528;1230;71
1231;12472;1231;71
1232;1232;1232;27
1233;9232;1233;133
1234;9232;1234;133
1235;9232;1235;133
1236;1236;1236;27
1237;3712;1237;27
1238;9232;1238;133
1239;9232;1239;133
1240;9232;1240;89
1241;4192;1241;40
1242;9232;1242;89
1243;9448;1243;71
1244;9232;1244;89
1245;9232;1245;89
1246;9232;1246;133
1247;18952;1247;133
1248;1248;1248;40
1249;250504;1249;177
1250;1876;1250;27
1251;5632;1251;27
1252;9232;1252;133
1253;9232;1253;133
1254;9232;1254;133
1255;14308;1255;89
1256;1256;1256;40
1257;9556;1257;40
1258;1888;1258;40
1259;8080;1259;84
1260;1600;1260;40
1261;3784;1261;40
1262;4264;1262;40
1263;138400;1263;177
1264;1264;1264;40
1265;3796;1265;40
1266;3616;1266;32
1267;5704;1267;32
1268;1268;1268;40
1269;3808;1269;40
1270;3220;1270;32
1271;8584;1271;32
1272;9232;1272;58
1273;4840;1273;32
1274;9232;1274;58
1275;39364;1275;84
1276;9232;1276;58
1277;9232;1277;58
1278;41524;1278;133
1279;65608;1279;133
1280;1280;1280;14
1281;3844;1281;53
1282;2752;1282;53
1283;5776;1283;53
1284;1284;1284;27
1285;3856;1285;27
1286;2896;1286;27
1287;9232;1287;146
1288;9232;1288;102
1289;9232;1289;146
1290;9232;1290;102
1291;5812;1291;53
1292;9232;1292;102
1293;9232;1293;102
1294;4372;1294;40
1295;13120;1295;40
1296;1296;1296;27
1297;9232;1297;102
1298;9232;1298;146
1299;9232;1299;146
1300;1300;1300;27
1301;3904;1301;27
1302;9232;1302;102
1303;9232;1303;102
1304;1304;1304;27
1305;4408;1305;53
1306;1960;1306;27
1307;190996;1307;177
1308;9232;1308;146
1309;9232;1309;146
1310;9232;1310;146
1311;19924;1311;102
1312;9232;1312;115
1313;3940;1313;27
1314;1972;1314;53
1315;5920;1315;53
1316;1672;1316;53
1317;3952;1317;53
1318;2968;1318;53
1319;10024;1319;146
1320;9232;1320;115
1321;15064;1321;102
1322;9232;1322;115
1323;5956;1323;53
1324;1492;1324;27
1325;3976;1325;27
1326;4480;1326;27
1327;13444;1327;53
1328;9232;1328;115
1329;3988;1329;53
1330;2248;1330;53
1331;5992;1331;53
1332;9232;1332;115
1333;9232;1333;115
1334;21688;1334;146
1335;21688;1335;146
1336;9232;1336;71
1337;8584;1337;45
1338;9232;1338;71
1339;6784;1339;27
1340;9232;1340;71
1341;9232;1341;71
1342;39364;1342;97
1343;39364;1343;97
1344;1344;1344;14
1345;9232;1345;115
1346;2752;1346;66
1347;6064;1347;66
1348;9232;1348;115
1349;9232;1349;115
1350;9232;1350;115
1351;17332;1351;159
1352;4372;1352;53
1353;6856;1353;40
1354;4372;1354;53
1355;9232;1355;115
1356;4372;1356;53
1357;4372;1357;53
1358;5812;1358;66
1359;13768;1359;66
1360;1360;1360;14
1361;13120;1361;53
1362;39364;1362;66
1363;39364;1363;66
1364;1364;1364;14
1365;4096;1365;14
1366;3076;1366;40
1367;9232;1367;40
1368;9232;1368;128
1369;4624;1369;40
1370;9232;1370;128
1371;10420;1371;115
1372;9232;1372;128
1373;9232;1373;128
1374;6964;1374;40
1375;20896;1375;40
1376;1376;1376;35
1377;9232;1377;159
1378;9232;1378;128
1379;9232;1379;128
1380;9232;1380;128
1381;9232;1381;128
1382;9232;1382;128
1383;95956;1383;97
1384;1384;1384;35
1385;10528;1385;66
1386;2080;1386;35
1387;6244;1387;66
1388;9232;1388;128
1389;9232;1389;128
1390;9232;1390;128
1391;15856;1391;115
1392;1392;1392;35
1393;4180;1393;35
1394;9232;1394;128
1395;9232;1395;128
1396;1396;1396;35
1397;4192;1397;35
1398;3544;1398;66
1399;9448;1399;66
1400;9232;1400;84
1401;45520;1401;97
1402;9232;1402;84
1403;9232;1403;128
1404;9232;1404;84
1405;9232;1405;84
1406;250504;1406;172
1407;250504;1407;172
1408;1408;1408;22
1409;9232;1409;84
1410;2116;1410;35
1411;6352;1411;35
1412;9232;1412;128
1413;9232;1413;128
1414;9232;1414;128
1415;9556;1415;35
1416;1416;1416;35
1417;8080;1417;79
1418;2128;1418;35
1419;9232;1419;128
1420;1600;1420;35
1421;4264;1421;35
1422;4804;1422;66
1423;14416;1423;66
1424;1424;1424;35
1425;4276;1425;27
1426;3616;1426;27
1427;6424;1427;27
1428;1428;1428;35
1429;4288;1429;35
1430;3220;1430;27
1431;9664;1431;27
1432;1432;1432;35
1433;4840;1433;27
1434;2152;1434;35
1435;39364;1435;79
1436;9232;1436;53
1437;9232;1437;53
1438;9232;1438;53
1439;41524;1439;128
1440;1440;1440;22
1441;9232;1441;141
1442;2164;1442;48
1443;6496;1443;48
1444;2752;1444;48
1445;4336;1445;48
1446;3256;1446;48
1447;10996;1447;53
1448;1448;1448;22
1449;24784;1449;141
1450;2176;1450;22
1451;9232;1451;141
1452;1636;1452;48
1453;4360;1453;48
1454;4912;1454;48
1455;14740;1455;141
1456;9232;1456;97
1457;4372;1457;35
1458;2464;1458;35
1459;6568;1459;35
1460;9232;1460;97
1461;9232;1461;97
1462;9232;1462;141
1463;9880;1463;141
1464;9232;1464;97
1465;4948;1465;35
1466;9232;1466;97
1467;9232;1467;141
1468;4192;1468;48
1469;4408;1469;48
1470;11176;1470;48
1471;190996;1471;172
1472;1472;1472;22
1473;9232;1473;97
1474;9232;1474;141
1475;9232;1475;141
1476;1476;1476;22
1477;4432;1477;22
1478;3328;1478;22
1479;9988;1479;97
